personaId,packVersion,scenarioId,nodeId,lineId,text,ko,intent
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,こんにちは,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,こんにちは。,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,こんち,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,안녕하세요,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,こんにちは 5,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,こんにちは 6,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,こんにちは 7,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01a,こんにちは 8,안녕하세요,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,はじめまして,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,はじめまして。,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,じめまして,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,처음 뵙겠습니다,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,처음 뵙겠요,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,はじめまして 6,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,はじめまして 7,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_01,haruka_greetings_intro_n5_u01b,はじめまして 8,처음 뵙겠습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,私はミンです,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,私はミンです。,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,私はミン,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,私ミン,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,저는 민입니다,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,私はミンです 6,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,私はミンです 7,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02a,私はミンです 8,저는 민입니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,ミンといいます,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,ミンといいます。,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,ミンといい,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,민이라고 합니다,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,ミンといいます 5,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,ミンといいます 6,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,ミンといいます 7,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_02,haruka_greetings_intro_n5_u02b,ミンといいます 8,민이라고 합니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,韓国から来ました,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,韓国から来ました。,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,한국에서 왔습니다,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,한국에서 왔요,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,韓国から来ました 5,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,韓国から来ました 6,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,韓国から来ました 7,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03a,韓国から来ました 8,한국에서 왔습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,ソウルに住んでいます,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,ソウルに住んでいます。,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,ソウルに住んでい,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,ソウル住んでいます,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,서울에 살고 있습니다,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,서울에 살고 있요,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,ソウルに住んでいます 7,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_03,haruka_greetings_intro_n5_u03b,ソウルに住んでいます 8,서울에 살고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,日本語を勉強しています,일본어를 공부하고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,日本語を勉強しています。,일본어를 공부하고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,日本語を勉強してい,일본어를 공부하고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,日本語勉強しています,일본어를 공부하고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,일본어를 공부하고 있습니다,일본어를 공부하고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,일본어를 공부하고 있요,일본어를 공부하고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,にほんごを勉強しています,일본어를 공부하고 있습니다,choice
haruka,v2,haruka_greetings_intro_n5,haruka_greetings_intro_n5_node_04,haruka_greetings_intro_n5_u04a,日本語を勉強しています 8,일본어를 공부하고 있습니다,choice
